Area Identifier,Area Name,House Prices: Reference Period = 2011; measure type = Lower Quartile,House Prices: Reference Period = 2011; measure type = Mean,House Prices: Reference Period = 2011; measure type = Median,House Prices: Reference Period = 2011; measure type = Upper Quartile,House Prices: Reference Period = 2012; measure type = Lower Quartile,House Prices: Reference Period = 2012; measure type = Mean,House Prices: Reference Period = 2012; measure type = Median,House Prices: Reference Period = 2012; measure type = Upper Quartile,House Prices: Reference Period = 2010; measure type = Lower Quartile,House Prices: Reference Period = 2010; measure type = Mean,House Prices: Reference Period = 2010; measure type = Median,House Prices: Reference Period = 2010; measure type = Upper Quartile,House Prices: Reference Period = 2009; measure type = Lower Quartile,House Prices: Reference Period = 2009; measure type = Mean,House Prices: Reference Period = 2009; measure type = Median,House Prices: Reference Period = 2009; measure type = Upper Quartile
http://statistics.gov.scot/id/statistical-geography/S01000031,S01000031,206250,287333,276000,325500,197010,278272,246000,320000,197500,347867,280000,390000,183000,279697,243250,372000
http://statistics.gov.scot/id/statistical-geography/S01000032,S01000032,115000,126077,123000,132500,112500,128808,132552,140000,132000,137033,145000,152333,110000,132205,135750,150000
http://statistics.gov.scot/id/statistical-geography/S01000033,S01000033,97000,106400,102500,110000,82000,97929,94500,100000,93000,97770,95545,106000,81000,93690,95000,105070
http://statistics.gov.scot/id/statistical-geography/S01000034,S01000034,360000,396892,415000,485000,323000,454747,382000,670000,363000,431162,430000,525000,300000,397125,377500,470000
http://statistics.gov.scot/id/statistical-geography/S01000035,S01000035,122500,143862,145275,158250,122000,137663,138500,146000,112000,131545,125000,150000,105000,130331,122750,160100
http://statistics.gov.scot/id/statistical-geography/S01000036,S01000036,133000,139800,151000,160000,123000,150609,153000,174000,110111,121649,120000,128000,100000,124167,105000,167500
http://statistics.gov.scot/id/statistical-geography/S01000037,S01000037,104500,138000,113500,171500,114500,142730,120000,172000,125000,142673,131000,150000,105000,119929,120000,133000
http://statistics.gov.scot/id/statistical-geography/S01000038,S01000038,130000,139906,137000,149500,133575,138165,138000,145000,125000,131139,136500,147500,130000,137428,138750,148000
http://statistics.gov.scot/id/statistical-geography/S01000039,S01000039,120000,122167,125000,125000,125000,138885,145000,156000,122000,127676,130500,149000,120000,126008,125000,137500
http://statistics.gov.scot/id/statistical-geography/S01000040,S01000040,124000,138667,137500,153750,126000,143586,136500,142000,127250,137555,137500,146675,123000,135914,133750,150000
